,A69-1008-32,A69-1008-33,A69-1008-34,A69-1008-36,A69-1303-13038,A69-1303-2140,A69-1303-2145,A69-1303-2146,A69-1303-2147,A69-1303-2148,A69-1303-2149,A69-1303-2150,A69-1303-2151,A69-1303-44590,A69-1303-44591,A69-1303-44594,A69-1303-44607,A69-1303-52993,A69-1303-52994,A69-1303-52995,A69-1303-55114,A69-1303-55115,A69-1303-55116,A69-1303-55117,A69-1303-55119,A69-1303-55120,A69-1303-55121,A69-1303-55122,A69-1303-55123,A69-1303-55124,A69-1303-55125,A69-1303-55126,A69-1303-55127,A69-1303-56653,A69-1303-63423,A69-1303-63424,A69-1303-63425,A69-1303-63427,A69-1303-63429,A69-1303-63430,A69-1303-63433,A69-1303-63435,A69-1303-63436,A69-1303-63437,A69-1303-7949,A69-1303-7950,A69-1303-7951,A69-1303-7952,A69-1303-7955,A69-1303-7959,A69-1303-7960,A69-1303-7961,A69-1303-7963,A69-1303-7964,A69-1303-7966,A69-1303-7967,RI
SLOF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001322751
SLWS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000661376
SNSO,0,0,0,0,0.027777778,0,0,0.008695652,0,0,0,0,0,0.0625,0,0,0,0.015873016,0,0,0,0.00625,0,0,0.032,0.042372881,0,0,0,0,0.053846154,0.04950495,0,0,0,0,0,0,0.018867925,0.027027027,0,0,0,0,0,0,0.013245033,0,0,0,0,0.041958042,0,0,0.019900498,0.01980198,0.007850374
SS1,0,0,0.01754386,0.03030303,0.05,0.008928571,0.117647059,0.052173913,0.061538462,0.02173913,0.052631579,0,0.014218009,0,0,0,0,0.015873016,0,0,0,0.00625,0,0,0.008,0.008474576,0,0,0,0,0,0.01980198,0,0,0,0.1,0,0.015384615,0.018867925,0,0,0.035714286,0,0,0.204819277,0.02,0.006622517,0.121212121,0.043478261,0.112676056,0.032967033,0.020979021,0,0.088888889,0.029850746,0.00990099,0.024044374
SS2,0,0,0.005847953,0.022727273,0,0.008928571,0.039215686,0,0.015384615,0,0.052631579,0,0.023696682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156626506,0,0,0.060606061,0.017391304,0.028169014,0,0,0,0,0,0,0.007700451
SSN,0.038461538,0.191919192,0,0.053030303,0.277777778,0.017857143,0,0.034782609,0.051282051,0.043478261,0,0.006622517,0.028436019,0,0,0,0,0,0,0,0,0,0,0.01754386,0,0.008474576,0,0,0.006060606,0,0.007692308,0.02970297,0,0,0,0,0,0.007692308,0.150943396,0.027027027,0,0.035714286,0.037037037,0.010752688,0.144578313,0.013333333,0.006622517,0.060606061,0,0.014084507,0,0.027972028,0.083333333,0.011111111,0,0.01980198,0.026138065
SSS,0.125,0.181818182,0,0.03030303,0.266666667,0.017857143,0,0.026086957,0.051282051,0.02173913,0,0.006622517,0.037914692,0,0,0,0,0,0,0,0,0,0,0.01754386,0.008,0.008474576,0,0,0.006060606,0,0.007692308,0.01980198,0,0,0,0,0,0,0.094339623,0.027027027,0,0.071428571,0.055555556,0,0.144578313,0.013333333,0,0.03030303,0,0.014084507,0,0.020979021,0.083333333,0.022222222,0,0.01980198,0.02553304
TB,0,0.01010101,0.128654971,0.068181818,0.005555556,0.080357143,0.176470588,0.173913043,0.041025641,0.130434783,0.184210526,0.40397351,0.27014218,0.21875,0.461538462,0,0,0.126984127,0.229508197,0.409090909,0.217391304,0.08125,0.3,0.070175439,0.144,0.06779661,0.145985401,0.291666667,0.084848485,0.132352941,0.084615385,0.099009901,0.210526316,0.00591716,0.857142857,0.033333333,0.102564103,0.023076923,0.075471698,0,0.298969072,0.25,0.277777778,0.032258065,0.024096386,0.086666667,0.245033113,0.090909091,0.226086957,0.211267606,0.175824176,0.216783217,0,0.066666667,0.268656716,0.118811881,0.155996864
TERE,0,0,0,0.007575758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008695652,0,0,0,0,0,0.004975124,0,0.000379402
THCE,0,0,0.01754386,0.007575758,0,0,0,0.034782609,0.005128205,0,0,0,0.028436019,0,0,0,0,0,0,0,0,0.06875,0,0,0,0.050847458,0.04379562,0,0.006060606,0,0,0,0,0.065088757,0,0,0.128205128,0,0,0,0.010309278,0,0,0.010752688,0,0,0.013245033,0,0,0.021126761,0.032967033,0,0,0.011111111,0.009950249,0,0.01010136
THSO,0,0,0.01754386,0.007575758,0,0,0,0.034782609,0,0,0,0,0.028436019,0,0,0,0,0,0,0,0,0.06875,0,0,0,0.050847458,0.04379562,0,0.006060606,0,0,0,0,0.065088757,0,0,0.128205128,0,0,0,0.010309278,0,0,0.010752688,0,0,0.006622517,0,0,0.021126761,0.021978022,0,0,0.011111111,0.009950249,0,0.009695294
TT,0,0.01010101,0.01754386,0.022727273,0,0.0625,0.039215686,0,0,0,0.065789474,0.033112583,0.009478673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024096386,0,0,0.090909091,0.008695652,0.021126761,0,0,0,0,0,0,0.007237437
TUBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000661376
TUCA,0,0,0,0.015151515,0.005555556,0,0,0.026086957,0.015384615,0,0,0.013245033,0.018957346,0.1875,0,0,0,0.031746032,0.016393443,0,0,0.0125,0,0.00877193,0.032,0,0.00729927,0,0,0,0.023076923,0.02970297,0.01754386,0.00591716,0,0.1,0,0,0.018867925,0.027027027,0,0.035714286,0.018518519,0,0,0,0.006622517,0,0.008695652,0.091549296,0,0,0.041666667,0.088888889,0.024875622,0,0.016593911
UPDB,0,0,0,0,0,0,0,0.008695652,0,0,0,0,0,0,0,0,0,0,0.008196721,0,0,0,0,0,0,0.008474576,0,0,0,0,0,0,0.01754386,0,0,0,0,0,0.018867925,0,0,0,0,0.010752688,0,0,0,0,0,0,0,0,0,0,0,0,0.001295204
