,A69-1008-32,A69-1008-33,A69-1008-34,A69-1008-36,A69-1303-13038,A69-1303-2140,A69-1303-2145,A69-1303-2146,A69-1303-2147,A69-1303-2148,A69-1303-2149,A69-1303-2150,A69-1303-2151,A69-1303-44590,A69-1303-44591,A69-1303-44594,A69-1303-44607,A69-1303-52993,A69-1303-52994,A69-1303-52995,A69-1303-55114,A69-1303-55115,A69-1303-55116,A69-1303-55117,A69-1303-55119,A69-1303-55120,A69-1303-55121,A69-1303-55122,A69-1303-55123,A69-1303-55124,A69-1303-55125,A69-1303-55126,A69-1303-55127,A69-1303-56653,A69-1303-63423,A69-1303-63424,A69-1303-63425,A69-1303-63427,A69-1303-63429,A69-1303-63430,A69-1303-63433,A69-1303-63435,A69-1303-63436,A69-1303-63437,A69-1303-7949,A69-1303-7950,A69-1303-7951,A69-1303-7952,A69-1303-7955,A69-1303-7959,A69-1303-7960,A69-1303-7961,A69-1303-7963,A69-1303-7964,A69-1303-7966,A69-1303-7967,RI
EB,0.009615385,0.01010101,0.175438596,0.151515152,0,0.482142857,0.078431373,0.173913043,0.020512821,0.043478261,0.210526316,0.238410596,0.246445498,0.0625,0.038461538,0,0.045454545,0,0.057377049,0,0.130434783,0.13125,0.066666667,0.078947368,0.088,0.059322034,0.058394161,0.104166667,0.03030303,0.014705882,0.107692308,0.168316832,0.105263158,0.035502959,0.19047619,0,0,0.007692308,0.075471698,0,0.195876289,0.035714286,0.037037037,0.032258065,0.012048193,0.126666667,0.01986755,0.03030303,0.217391304,0.154929577,0.263736264,0.104895105,0,0.088888889,0.089552239,0.138613861,0.090084079
EVCA,0,0,0,0,0,0,0,0.008695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00625,0,0,0,0,0,0.020833333,0.006060606,0,0,0,0,0,0,0,0,0.023076923,0.018867925,0.027027027,0,0,0,0.010752688,0,0,0,0,0.008695652,0,0,0,0,0,0,0,0.002326068
FPCC,0,0.01010101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015873016,0.008196721,0,0,0,0,0,0,0,0,0,0,0.014705882,0,0.00990099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008695652,0,0,0.006993007,0,0,0,0.00990099,0.001506558
FPIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000661376
FPIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000661376
FPLR,0,0.01010101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015873016,0.016393443,0,0,0,0,0,0,0.008474576,0,0,0,0.014705882,0,0.00990099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008695652,0,0,0.006993007,0,0,0,0.00990099,0.00180426
GNWR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008474576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000151332
HIPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002645503
HIPW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011904762
HITW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HORF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037,0,0.015873016,0.008196721,0,0,0,0,0.01754386,0.008,0.008474576,0.01459854,0,0,0,0,0,0,0.00591716,0,0,0.025641026,0.007692308,0,0,0.010309278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002844349
HS,0,0,0.070175439,0.007575758,0,0.008928571,0.078431373,0.069565217,0,0.02173913,0.065789474,0.013245033,0.056872038,0.09375,0.076923077,0,0.045454545,0.031746032,0.016393443,0.272727273,0,0.15625,0.033333333,0.052631579,0.024,0.262711864,0.291970803,0.020833333,0.072727273,0.088235294,0.023076923,0.02970297,0.035087719,0.680473373,0,0,0.487179487,0.030769231,0.094339623,0.540540541,0.092783505,0,0,0.11827957,0,0.02,0,0,0.095652174,0,0.065934066,0,0,0.011111111,0.029850746,0.247524752,0.080969923
HSE,0,0,0.064327485,0.022727273,0,0.071428571,0.058823529,0.008695652,0,0.02173913,0.144736842,0.039735099,0.028436019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012048193,0,0,0,0.008695652,0.014084507,0.010989011,0,0,0,0.004975124,0,0.009132894
HSO,0,0,0.029239766,0.007575758,0,0,0,0.017391304,0,0.02173913,0,0,0.037914692,0.03125,0.038461538,0,0.136363636,0.079365079,0.081967213,0.363636364,0.043478261,0.125,0,0,0,0.042372881,0.051094891,0.25,0.090909091,0.147058824,0.053846154,0.00990099,0.105263158,0.082840237,0,0,0,0.015384615,0.037735849,0.135135135,0.020618557,0,0.018518519,0.279569892,0,0.1,0.006622517,0,0.069565217,0,0,0,0,0.011111111,0.009950249,0.148514851,0.048203491
HSR,0.5,0,0,0.007575758,0.027777778,0.017857143,0,0,0.025641026,0,0,0,0.004739336,0,0,0,0,0,0,0,0,0,0,0,0.016,0,0,0,0,0.058823529,0,0.01980198,0,0.00591716,0,0,0,0,0,0,0,0.035714286,0.037037037,0.010752688,0,0,0.066225166,0.03030303,0,0,0,0.006993007,0,0,0,0.00990099,0.015733213
JC,0,0,0.005847953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000104428
JN,0,0,0.029239766,0.015151515,0.016666667,0.008928571,0.176470588,0.034782609,0.005128205,0.043478261,0,0.013245033,0.018957346,0,0,0,0,0.031746032,0,0,0.043478261,0.0125,0,0,0.008,0,0,0,0,0,0.007692308,0.02970297,0,0,0,0,0,0,0,0,0,0,0,0,0.036144578,0.006666667,0.039735099,0,0.026086957,0.049295775,0.043956044,0.013986014,0.166666667,0.177777778,0.024875622,0,0.019292131
JUNO,0,0,0,0,0.005555556,0,0.019607843,0.060869565,0,0,0,0,0,0,0,0,0,0.047619048,0.008196721,0,0,0.05,0,0.070175439,0.04,0.050847458,0.01459854,0.020833333,0.012121212,0.088235294,0.023076923,0.00990099,0,0,0,0.266666667,0,0.053846154,0.056603774,0,0.010309278,0.25,0,0,0,0.06,0.006622517,0,0,0,0,0.013986014,0,0,0.039800995,0.02970297,0.023378148
MGE,0,0.03030303,0.526315789,0.416666667,0.011111111,0.598214286,0.117647059,0.191304348,0.087179487,0.739130435,0.578947368,0.61589404,0.464454976,0.75,0.653846154,0,0,0.428571429,0.762295082,0.318181818,0.826086957,0.50625,0.866666667,0.675438596,0.536,0.322033898,0.525547445,0.333333333,0.83030303,0.588235294,0.392307692,0.524752475,0.578947368,0.047337278,0.095238095,0.4,0.358974359,0.615384615,0.188679245,0.027027027,0.701030928,0.535714286,0.62962963,0.559139785,0.084337349,0.46,0.701986755,0.333333333,0.547826087,0.345070423,0.571428571,0.622377622,0,0.066666667,0.71641791,0.178217822,0.421103279
MGW,0,0.04040404,0.532163743,0.431818182,0.005555556,0.607142857,0.117647059,0.147826087,0.097435897,0.760869565,0.578947368,0.629139073,0.464454976,0.75,0.615384615,0.037037037,0,0.428571429,0.614754098,0.318181818,0.782608696,0.4,0.866666667,0.49122807,0.496,0.330508475,0.525547445,0.3125,0.636363636,0.602941176,0.392307692,0.495049505,0.578947368,0.035502959,0.142857143,0.433333333,0.333333333,0.438461538,0.132075472,0.027027027,0.494845361,0.464285714,0.611111111,0.387096774,0.096385542,0.466666667,0.649006623,0.333333333,0.556521739,0.338028169,0.593406593,0.629370629,0,0.088888889,0.721393035,0.158415842,0.396774089
